id_requisito,estado,observaciones,idcaso_prueba
1,Relacionado,Caso v치lido,1
2,Relacionado,Conexi칩n establecida,2
3,En progreso,Falta medir carga,3
4,Finalizado,Buen dise침o,4
5,Relacionado,Campos completos,5
6,Relacionado,Falla en navegador,6
7,Relacionado,Sin acceso seguro,7
8,Finalizado,Logs correctos,8
9,Relacionado,Traducido parcialmente,9
10,Relacionado,Error config,10
11,Relacionado,Sin token API,11
12,En progreso,Respaldo parcial,12
13,Finalizado,Formulario funcional,13
14,Relacionado,Visualizaci칩n parcial,14
15,Relacionado,Email no llega,15
